id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Jungle,Kilo Verse,hip hop,confident,0.78,95,0.62,0.85,0.12
12,Desert Mirage,Sahara Strings,world,relaxed,0.44,102,0.68,0.57,0.74
13,Velvet Midnight,Blue Room Trio,jazz,moody,0.39,84,0.53,0.49,0.81
14,Breakwater,Tidal Frame,electronic,intense,0.88,128,0.55,0.90,0.08
15,Old Porch Song,Willow Hollow,country,relaxed,0.46,96,0.70,0.55,0.83
16,Cathedral Skies,Aurelia,classical,chill,0.30,68,0.58,0.32,0.95
17,Riot in the Pit,Blackout Signal,metal,intense,0.96,168,0.40,0.61,0.04
18,Island Time,Palm Fever,reggae,happy,0.58,92,0.83,0.74,0.46
19,Neon Alley,Circuit Ghost,synthwave,moody,0.72,116,0.47,0.71,0.19
20,Sunday Soul,Ruby Mae,r&b,relaxed,0.52,88,0.75,0.68,0.53
